,name,organization_name,twitter
0,21viaNet,21viaNet,https://twitter.com/21vnet
1,22nd Century Group,22nd Century Group,
2,2U Inc.,2U Inc.,http://twitter.com/2uinc
3,3D Systems,3D Systems,https://twitter.com/3dsystems
4,6D Global Technologies,6D Global Technologies,https://twitter.com/6dglobal
5,A10 Networks,A10 Networks,http://twitter.com/A10Networks
6,Abattis Bioceuticals,Abattis Bioceuticals,http://twitter.com/abattis
7,ABB,ABB,
8,ABB,ABB,https://twitter.com/ABBgroupnews
9,ABB,ABB,http://twitter.com/ABBgroupnews
10,ABB,ABB,
11,Acacia Research,Acacia Research,http://twitter.com/Acacia_Research
12,ACADIA Pharmaceuticals,ACADIA Pharmaceuticals,https://twitter.com/acadiapharma
13,Accelerate Diagnostics,Accelerate Diagnostics,https://www.twitter.com/axdxnews
14,Acceleron Pharma,Acceleron Pharma,https://twitter.com/acceleronpharma
15,Accentia Biopharmaceuticals Inc,Accentia Biopharmaceuticals Inc,
16,Acco Brands,Acco Brands,https://www.twitter.com/accobrandsbnl
17,AcelRx Pharmaceuticals,AcelRx Pharmaceuticals,
18,Achillion Pharmaceuticals,Achillion Pharmaceuticals,http://twitter.com/AchillionPharma
19,Aclaris Therapeutics,Aclaris Therapeutics,
20,Acorda Therapeutics,Acorda Therapeutics,https://twitter.com/AcordaNews
21,Acorn International,Acorn International,
22,ACS Global,ACS Global,https://www.twitter.com/cryostem
23,Actinium Pharmaceuticals,Actinium Pharmaceuticals,http://twitter.com/ActiniumPharma
24,Actions Semiconductor,Actions Semiconductor,
25,Acura Pharmaceuticals,Acura Pharmaceuticals,
26,Acusphere,Acusphere,
27,Adamas Pharmaceuticals,Adamas Pharmaceuticals,
28,Adamis Pharmaceuticals,Adamis Pharmaceuticals,http://twitter.com/buyadmp
29,Adaptimmune,Adaptimmune,https://twitter.com/Adaptimmune
30,Addex Therapeutics,Addex Therapeutics,https://www.twitter.com/addexpharma
31,Addus HealthCare,Addus HealthCare,
32,ADMA Biologics,ADMA Biologics,
33,Adslot,Adslot,http://twitter.com/Adslot
34,Advanced Media,Advanced Media,
35,Advaxis,Advaxis,http://twitter.com/advaxis
36,Aehr Test Systems,Aehr Test Systems,
37,Aerie Pharmaceuticals,Aerie Pharmaceuticals,https://twitter.com/aeriepharma
38,Aethlon Medical,Aethlon Medical,http://twitter.com/Aethlon_Medical
39,Agenus,Agenus,http://twitter.com/Agenus_Bio
40,Agile Therapeutics,Agile Therapeutics,https://www.twitter.com/agilether
41,Agios Pharmaceuticals,Agios Pharmaceuticals,https://www.twitter.com/agiospharma
42,Airspan Networks,Airspan Networks,http://twitter.com/AirspanNetworks
43,Akebia Therapeutics,Akebia Therapeutics,
44,Alarm.com,Alarm.com,http://twitter.com/AlarmDotCom
45,Aldeyra Therapeutics,Aldeyra Therapeutics,https://twitter.com/aldeyraaldx
46,Align Technology,Align Technology,
47,Alimera Sciences,Alimera Sciences,http://twitter.com/AlimeraSciences
48,AllDigital,AllDigital,http://twitter.com/AllDigital_Inc
49,Allergy Therapeutics,Allergy Therapeutics,
50,Allon Therapeutics,Allon Therapeutics,
51,The Allstate Corporation,The Allstate Corporation,http://twitter.com/allstate
52,Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,http://twitter.com/Alnylam
53,Alpha and Omega Semiconductor,Alpha and Omega Semiconductor,http://twitter.com/AlphaOmega_Semi
54,Alphatec Spine,Alphatec Spine,https://www.twitter.com/alphatecspine
55,AltiGen Communications,AltiGen Communications,http://twitter.com/altigen
56,Amarin,Amarin,
57,Amazon,Amazon,http://twitter.com/amazon
58,Ambarella,Ambarella,https://www.twitter.com/ambarellahd
59,Ambow Education,Ambow Education,https://twitter.com/ambow_education
60,American Cannabis Company,American Cannabis Company,https://www.twitter.com/cannabizconsult
61,AmeriPath,AmeriPath,https://www.twitter.com/ameripath
62,Amgen,Amgen,https://twitter.com/amgen
63,Amiad,Amiad,http://twitter.com/AmiadWaterSyst
64,Amicus Therapeutics,Amicus Therapeutics,https://twitter.com/amicusrx1
65,Ampio Pharmaceuticals,Ampio Pharmaceuticals,
66,AmpliPhi Biosciences,AmpliPhi Biosciences,http://twitter.com/ampli
67,AMSC,AMSC,https://www.twitter.com/nasdaq_amsc
68,Angie's List,Angie's List,https://twitter.com/AngiesList
69,Anthera Pharmaceuticals,Anthera Pharmaceuticals,https://www.twitter.com/antherapharma
70,Antibe Therapeutics,Antibe Therapeutics,https://twitter.com/antibethera
71,Aoxing Pharmaceutical,Aoxing Pharmaceutical,
72,Apollo Commercial Real Estate Finance,Apollo Commercial Real Estate Finance,
73,Appfolio,Appfolio,http://twitter.com/appfolio
74,Apple,Apple,https://twitter.com/apple
75,Applied DNA Sciences,Applied DNA Sciences,http://twitter.com/APDN
76,Applied Genetics Technologies Corporation,Applied Genetics Technologies Corporation,https://www.twitter.com/agtc_
77,Applied Minerals,Applied Minerals,
78,Applied Optoelectronics,Applied Optoelectronics,http://twitter.com/AppliedOptoAAOI
79,AquaBounty Technologies,AquaBounty Technologies,
80,ARCA biopharma,ARCA biopharma,
81,Arcadia Biosciences,Arcadia Biosciences,
82,Arch Biopartners,Arch Biopartners,https://www.twitter.com/archbiopartners
83,Ardelyx,Ardelyx,https://www.twitter.com/ardelyx
84,Arena Pharmaceuticals,Arena Pharmaceuticals,https://twitter.com/arenapharm
85,Ares Commercial Real Estate Corporation,Ares Commercial Real Estate Corporation,
86,arGEN-X,arGEN-X,
87,Rewalk Robotics,Rewalk Robotics,http://twitter.com/ReWalk_Robotics
88,ARHT Media,ARHT Media,https://twitter.com/ARHTMedia
89,Arista Power,Arista Power,http://twitter.com/AristaPower
90,Array BioPharma,Array BioPharma,https://twitter.com/arraybiopharma
91,Arria NLG,Arria NLG,https://twitter.com/ArriaNLG
92,ARYZTA AG,ARYZTA AG,
93,Ascendis Pharma,Ascendis Pharma,
94,Ascent Solar Technologies,Ascent Solar Technologies,http://twitter.com/AscentSolar
95,Aspen Aerogels,Aspen Aerogels,http://twitter.com/aspenaerogels
96,Aspen Technology,Aspen Technology,https://twitter.com/AspenTech?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
